LVL,FLDNM,KNLESSONLANGNM,ESTB,SYLLABUS_DETAIL_URL,SBJTNM,DOWPD,LCTNM,ID
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=61600&lang=jp,歴史Ⅱ,月2,新井 和広,61600
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=01496&lang=jp,人文科学特論Ⅱ（独文学）,月2,平田 栄一朗,01496
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=26505&lang=jp,人文科学特論Ⅱ（音楽）,月2,福田 弥,26505
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=85102&lang=jp,人文科学特論Ⅱ（西洋史）,月2,山道 佳子 他,85102
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=84680&lang=jp,政治学Ⅱ,月2,奥 健太郎,84680
"2, 3, 4",総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=11385&lang=jp,法学Ⅱ（憲法を含む）,月2,松浦 聖子,11385
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=77681&lang=jp,法学Ⅱ（憲法を含む）,月2,野村 和彦,77681
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=23578&lang=jp,生物学Ⅱ（実験を含む）,"月1,2",古川 亮平,23578
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=36834&lang=jp,生物学Ⅱ（実験を含む）,"月1,2",福山 欣司,36834
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=70103&lang=jp,生物学Ⅱ（実験を含む）,"月1,2",福澤 利彦,70103
"2, 3, 4",総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=04258&lang=jp,生命科学概論,月2,倉石 立,04258
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=20344&lang=jp,物理学Ⅱ（実験を含む）,"月1,2",吉田 豊,20344
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=76522&lang=jp,物理学Ⅱ（実験を含む）,"月1,2",下村 裕,76522
1,総合教育科目系列外語学以外,日本語,文/人文,detail?ttblyr=2023&entno=98993&lang=jp,心理学Ⅳ,月2,中野 泰志 他,98993
1,総合教育科目系列外教授会の認める,日本語,文/人文,detail?ttblyr=2023&entno=75689&lang=jp,東アジア宗教文化概論Ⅱ,月2,井ノ口 哲也,75689
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=10556&lang=jp,音楽学Ⅱ,月2,井澤 岳野,10556
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=15213&lang=jp,言語学概論Ⅳ,月2,本間 猛,15213
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=02183&lang=jp,博物館資料論Ⅱ,月2,三木 敬介,02183
"2, 3, 4",専門教育科目哲学専攻専門コース　選択必修Ｂ,日本語,文/人哲,detail?ttblyr=2023&entno=00525&lang=jp,現象学Ⅰ,月2,秋葉 剛史,00525
"2, 3, 4",専門教育科目哲学専攻専門コース　選択必修Ｂ,日本語,文/人哲,detail?ttblyr=2023&entno=10690&lang=jp,現象学Ⅱ,月2,秋葉 剛史,10690
"2, 3, 4",専門教育科目倫理学専攻選択必修Ｂ,日本語,文/人倫,detail?ttblyr=2023&entno=65210&lang=jp,日本倫理思想Ⅰ,月2,頼住 光子,65210
"2, 3, 4",専門教育科目倫理学専攻選択必修Ｂ,日本語,文/人倫,detail?ttblyr=2023&entno=07678&lang=jp,日本倫理思想Ⅱ,月2,頼住 光子,07678
"2, 3, 4",専門教育科目美学美術史学専攻必修Ｄ,日本語,文/人美,detail?ttblyr=2023&entno=03854&lang=jp,美学概論Ⅰ,月2,桑原 俊介,03854
